ticker,repo,tier,corp_commits,total_commits,corp_ratio,months_active,density_months,N1a,N1b,N2,N3,sample_phi,N4,all_pass,fail_reason,oss_exception,selected
SNOW,snowflakedb/snowflake-telemetry-python,,56,56,1.0,26,5,False,False,False,True,,,False,N1a(corp=56),False,False
SNOW,Snowflake-Labs/SC.DDLExportScripts,,83,1117,0.0743,42,9,False,False,False,False,,,False,N1a(corp=83),False,False
SNOW,snowflakedb/pdo_snowflake,,87,340,0.2559,57,8,False,False,True,True,,,False,N1a(corp=87),False,False
SNOW,snowflakedb/snowflake-hive-metastore-connector,,63,194,0.3247,34,8,False,False,False,True,,,False,N1a(corp=63),False,False
SNOW,snowflakedb/snowflake-connector-net,,355,738,0.481,74,48,True,True,True,True,0.22,True,True,,False,False
SNOW,snowflakedb/spark-snowflake,,113,434,0.2604,33,7,False,False,False,True,,,False,N1a(corp=113),False,False
SNOW,Snowflake-Labs/hirschgarten,,2,5000,0.0004,6,0,False,False,False,False,,,False,N1a(corp=2),False,False
SNOW,snowflakedb/snowflake-ingest-java,,684,783,0.8736,76,63,True,True,True,True,0.36,True,True,,False,False
SNOW,Snowflake-Labs/snowflake-arctic-instruct,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
SNOW,Snowflake-Labs/snowflake-flow-diff,,96,98,0.9796,15,9,False,False,False,True,,,False,N1a(corp=96),False,False
SNOW,Snowflake-Labs/sfguide-create-a-route-optimisation-and-vehicle-route-plan-simulator,,185,187,0.9893,11,9,False,False,False,True,,,False,N1a(corp=185),False,False
SNOW,snowflakedb/snowflake-jdbc,,1018,1847,0.5512,87,71,True,True,True,True,0.365,True,True,,False,False
SNOW,Snowflake-Labs/sfguide-price-transparency-files-ingestion-framework-with-openflow,,1,2,0.5,1,0,False,False,False,True,,,False,N1a(corp=1),False,False
SNOW,Snowflake-Labs/sfguide-supply-chain-risk-intelligence-with-snowflake,,2,2,1.0,1,0,False,False,False,True,,,False,N1a(corp=2),False,False
SNOW,Snowflake-Labs/schemachange,,395,655,0.6031,50,20,True,False,True,True,,,False,N1b(density=20),False,False
SNOW,Snowflake-Labs/postgres-full-day-training,,5,5,1.0,1,0,False,False,False,True,,,False,N1a(corp=5),False,False
