quarter,date,gross_margin,ps_zscore_mean,ticker,regime,gm_lead1,gm_lead2,gm_lead4
2021Q1,2021-03-31,76.32311557788944,-0.9051666666666667,DDOG,negative,75.40641025641025,76.72444444444444,79.85541871921183
2021Q2,2021-06-30,75.40641025641025,-0.9087333333333333,DDOG,negative,76.72444444444444,79.49531680440771,78.4745995423341
2021Q3,2021-09-30,76.72444444444444,-0.8416,DDOG,negative,79.49531680440771,79.85541871921183,79.2116182572614
2022Q1,2022-03-31,79.49531680440771,-0.5588666666666667,DDOG,negative,79.85541871921183,78.4745995423341,80.08133595284872
2022Q2,2022-06-30,79.85541871921183,-0.6352666666666666,DDOG,negative,78.4745995423341,79.2116182572614,81.06149635036496
2022Q3,2022-09-30,78.4745995423341,-0.666,DDOG,negative,79.2116182572614,80.08133595284872,82.02209492635023
2023Q1,2023-03-31,79.2116182572614,-0.4243666666666666,DDOG,negative,80.08133595284872,81.06149635036496,80.89612403100776
2023Q2,2023-06-30,80.08133595284872,-0.5245000000000001,DDOG,negative,81.06149635036496,82.02209492635023,80.03768115942029
2023Q3,2023-09-30,81.06149635036496,-0.03940000000000001,DDOG,negative,82.02209492635023,80.89612403100776,79.25524934383202
2024Q1,2024-03-31,82.02209492635023,0.3192,DDOG,negative,80.89612403100776,80.03768115942029,79.90108827085852
2024Q2,2024-06-30,80.89612403100776,1.3207333333333333,DDOG,negative,80.03768115942029,79.25524934383202,80.04446952595937
2024Q3,2024-09-30,80.03768115942029,0.9308333333333333,DDOG,negative,79.25524934383202,79.90108827085852,79.24433399602385
2025Q1,2025-03-31,79.25524934383202,1.2705666666666666,DDOG,negative,79.90108827085852,80.04446952595937,
2025Q2,2025-06-30,79.90108827085852,1.1830333333333334,DDOG,negative,80.04446952595937,79.24433399602385,
2025Q3,2025-09-30,80.04446952595937,0.9993333333333333,DDOG,negative,79.24433399602385,,
2026Q1,2026-03-31,79.24433399602385,2.377333333333333,DDOG,negative,,,
2021Q4,2021-10-31,88.96268656716418,-0.6401,GTLB,negative,89.14827586206897,87.13960396039604,88.9283464566929
2022Q2,2022-04-30,89.14827586206897,-0.6664333333333333,GTLB,negative,87.13960396039604,87.09469026548673,89.20357142857142
2022Q3,2022-07-31,87.13960396039604,-0.7028333333333333,GTLB,negative,87.09469026548673,88.9283464566929,89.72266666666667
2022Q4,2022-10-31,87.09469026548673,0.09466666666666668,GTLB,negative,88.9283464566929,89.20357142857142,89.00059171597633
2023Q2,2023-04-30,88.9283464566929,0.39680000000000004,GTLB,negative,89.20357142857142,89.72266666666667,88.09508196721312
2023Q3,2023-07-31,89.20357142857142,-1.1113,GTLB,negative,89.72266666666667,89.00059171597633,88.73571428571428
