quarter,date,revenue,revenue_yoy,ps_zscore_mean,ps_zscore_max,ticker,revenue_yoy_lead1,revenue_yoy_lead2
2023Q2,2023-06-30,32292000000.0,5.223369937111011,-0.05006666666666667,0.0582,BABA,5.7890399670375015,2.0823473734027376
2023Q3,2023-09-30,30810000000.0,5.7890399670375015,0.3159,0.8658,BABA,2.0823473734027376,-0.5787300451929656
2023Q4,2023-12-31,36669000000.0,2.0823473734027376,1.1456,1.219,BABA,-0.5787300451929656,3.647962343614508
2024Q1,2024-03-31,30579000000.0,-0.5787300451929656,1.6915333333333333,1.7691,BABA,3.647962343614508,9.383317104836086
2024Q2,2024-06-30,33470000000.0,3.647962343614508,1.5557999999999998,1.6903,BABA,9.383317104836086,4.6687938040306465
2024Q3,2024-09-30,33701000000.0,9.383317104836086,1.7087,1.9532,BABA,4.6687938040306465,3.8228849864285985
2024Q4,2024-12-31,38381000000.0,4.6687938040306465,1.2973,1.692,BABA,3.8228849864285985,3.289512996713473
2025Q1,2025-03-31,31748000000.0,3.8228849864285985,1.1829333333333334,1.3759,BABA,3.289512996713473,3.2847689979525807
2025Q2,2025-06-30,34571000000.0,3.289512996713473,1.6350333333333333,1.7233,BABA,3.2847689979525807,6.125426643391263
2025Q3,2025-09-30,34808000000.0,3.2847689979525807,1.5198333333333334,1.5433,BABA,6.125426643391263,20.60602242660956
2025Q4,2025-12-31,40732000000.0,6.125426643391263,1.4606333333333332,1.7827,BABA,20.60602242660956,
2026Q1,2026-03-31,38290000000.0,20.60602242660956,2.4891,2.5551,BABA,,
2019Q1,2019-01-31,3603000000.0,25.75916230366493,2.0192666666666668,3.0745,CRM,24.318030605455764,21.822615056385253
2019Q2,2019-04-30,3737000000.0,24.318030605455764,1.6173000000000002,2.1434,CRM,21.822615056385253,33.04834905660377
2019Q3,2019-07-31,3997000000.0,21.822615056385253,-0.29113333333333336,0.0576,CRM,33.04834905660377,34.637801831806826
2019Q4,2019-10-31,4513000000.0,33.04834905660377,1.4968000000000001,2.3296,CRM,34.637801831806826,30.18464008563018
2020Q1,2020-01-31,4851000000.0,34.637801831806826,1.7935999999999999,2.5125,CRM,30.18464008563018,28.871653740305227
2020Q2,2020-04-30,4865000000.0,30.18464008563018,0.9239333333333334,1.4789,CRM,28.871653740305227,20.075337912696646
2020Q3,2020-07-31,5151000000.0,28.871653740305227,0.21453333333333333,1.5262,CRM,20.075337912696646,19.913419913419904
2020Q4,2020-10-31,5419000000.0,20.075337912696646,-0.7840333333333334,-0.5768,CRM,19.913419913419904,22.5693730729702
2021Q1,2021-01-31,5817000000.0,19.913419913419904,-0.7750333333333334,-0.663,CRM,22.5693730729702,23.082896524946616
2021Q2,2021-04-30,5963000000.0,22.5693730729702,-0.9535666666666667,-0.9519,CRM,23.082896524946616,26.646982838162025
2021Q3,2021-07-31,6340000000.0,23.082896524946616,-0.8524333333333333,-0.836,CRM,26.646982838162025,25.94120680763281
2021Q4,2021-10-31,6863000000.0,26.646982838162025,-0.44189999999999996,-0.2812,CRM,25.94120680763281,24.283078987087038
2022Q1,2022-01-31,7326000000.0,25.94120680763281,-0.4653333333333333,-0.1043,CRM,24.283078987087038,21.76656151419558
2022Q2,2022-04-30,7411000000.0,24.283078987087038,-0.2904333333333333,0.1678,CRM,21.76656151419558,14.192044295497585
2022Q3,2022-07-31,7720000000.0,21.76656151419558,0.3541666666666667,0.4996,CRM,14.192044295497585,14.44171444171445
2022Q4,2022-10-31,7837000000.0,14.192044295497585,0.41253333333333336,0.8376,CRM,14.44171444171445,11.280528943462432
2023Q1,2023-01-31,8384000000.0,14.44171444171445,-0.3283,0.0568,CRM,11.280528943462432,11.437823834196891
2023Q2,2023-04-30,8247000000.0,11.280528943462432,-0.7355999999999999,-0.5311,CRM,11.437823834196891,11.267066479520228
2023Q3,2023-07-31,8603000000.0,11.437823834196891,-0.8892333333333333,-0.8362,CRM,11.267066479520228,10.770515267175561
2023Q4,2023-10-31,8720000000.0,11.267066479520228,-0.6470333333333333,-0.6409,CRM,10.770515267175561,10.743300594155446
2024Q1,2024-01-31,9287000000.0,10.770515267175561,-0.6685666666666666,-0.3087,CRM,10.743300594155446,8.392421248401716
2024Q2,2024-04-30,9133000000.0,10.743300594155446,-0.5344,-0.4262,CRM,8.392421248401716,8.302752293577974
2024Q3,2024-07-31,9325000000.0,8.392421248401716,0.2650666666666667,0.6349,CRM,8.302752293577974,7.602024335092072
2024Q4,2024-10-31,9444000000.0,8.302752293577974,1.6668666666666667,2.3951,CRM,7.602024335092072,7.620716084528634
2025Q1,2025-01-31,9993000000.0,7.602024335092072,0.10053333333333332,0.5111,CRM,7.620716084528634,9.769436997319026
2025Q2,2025-04-30,9829000000.0,7.620716084528634,-0.5545,-0.332,CRM,9.769436997319026,8.629817873782297
2025Q3,2025-07-31,10236000000.0,9.769436997319026,-0.4565666666666666,-0.3723,CRM,8.629817873782297,12.088461923346339
2025Q4,2025-10-31,10259000000.0,8.629817873782297,-0.6495333333333334,-0.3662,CRM,12.088461923346339,
2026Q1,2026-01-31,11201000000.0,12.088461923346339,-0.5470333333333334,-0.4635,CRM,,
2019Q1,2019-03-31,30571000000.0,13.990081658525666,-0.45629975230431286,0.4351152266096658,MSFT,12.07246135948148,13.653555219364598
2019Q2,2019-06-30,33717000000.0,12.07246135948148,0.24744891525935445,0.5758649601223993,MSFT,13.653555219364598,13.65834128915031
2019Q3,2019-09-30,33055000000.0,13.653555219364598,0.10669918174662103,0.5758649601223993,MSFT,13.65834128915031,14.556278826338698
2019Q4,2019-12-31,36906000000.0,13.65834128915031,0.8104478493102883,0.9981141606605998,MSFT,14.556278826338698,12.80066435329359
2020Q1,2020-03-31,35021000000.0,14.556278826338698,-1.3888618026315172,0.0128660260714653,MSFT,12.80066435329359,12.400544546967174
2020Q2,2020-06-30,38033000000.0,12.80066435329359,-0.31284417667339975,0.5055623964638919,MSFT,12.400544546967174,16.718148810491517
2020Q3,2020-09-30,37154000000.0,12.400544546967174,0.5365818153520326,1.5020102579089012,MSFT,16.718148810491517,19.088546871876865
2020Q4,2020-12-31,43076000000.0,16.718148810491517,-0.22359088520728587,0.2635046639900034,MSFT,19.088546871876865,21.347251071437956
2021Q1,2021-03-31,41706000000.0,19.088546871876865,0.8843344257243748,1.4001568439519334,MSFT,21.347251071437956,21.970716477364483
2021Q2,2021-06-30,46152000000.0,21.347251071437956,1.665034420965312,2.0496630689595388,MSFT,21.970716477364483,20.08543040208004
2021Q3,2021-09-30,45317000000.0,21.970716477364483,1.1706306665382573,1.402139141962775,MSFT,20.08543040208004,18.352275451973334
2021Q4,2021-12-31,51728000000.0,20.08543040208004,-0.27297124324685,1.5307912067835363,MSFT,18.352275451973334,12.378661813139203
2022Q1,2022-03-31,49360000000.0,18.352275451973334,-1.5710830895669632,-1.35430244675874,MSFT,12.378661813139203,10.60308493501334
2022Q2,2022-06-30,51865000000.0,12.378661813139203,-1.3472895256535276,-1.1416459803208276,MSFT,10.60308493501334,1.9699195793380753
2022Q3,2022-09-30,50122000000.0,10.60308493501334,-0.48499381468905867,0.0004971506135107,MSFT,1.9699195793380753,7.08468395461912
2022Q4,2022-12-31,52747000000.0,1.9699195793380753,-1.4270379663580623,-1.11991631306999,MSFT,7.08468395461912,8.337028824833691
2023Q1,2023-03-31,52857000000.0,7.08468395461912,1.0861517924731863,2.1312002012318003,MSFT,8.337028824833691,12.758868361198683
2023Q2,2023-06-30,56189000000.0,8.337028824833691,1.266883480262445,1.659230478378849,MSFT,12.758868361198683,17.58014673820312
