quarter,date,revenue,revenue_yoy,ps_zscore_mean,ps_zscore_max,ticker,rev_lead1,rev_lead2,rev_lead4
2019Q1,2019-03-31,233.0,80.6201550387597,-0.5804,0.1946,TWLO,85.8108108108108,74.55621301775149,56.65236051502145
2019Q2,2019-06-30,275.0,85.8108108108108,2.5276666666666667,2.8141,TWLO,74.55621301775149,62.254901960784316,45.81818181818183
2019Q3,2019-09-30,295.0,74.55621301775149,0.6019333333333333,0.9301,TWLO,62.254901960784316,56.65236051502145,51.864406779661024
2019Q4,2019-12-31,331.0,62.254901960784316,0.09513333333333333,0.21,TWLO,56.65236051502145,45.81818181818183,65.55891238670695
2020Q1,2020-03-31,365.0,56.65236051502145,-1.3915666666666666,-1.2502,TWLO,45.81818181818183,51.864406779661024,61.64383561643836
2020Q2,2020-06-30,401.0,45.81818181818183,0.36823333333333336,0.4934,TWLO,51.864406779661024,65.55891238670695,66.83291770573565
2020Q3,2020-09-30,448.0,51.864406779661024,0.1782,0.7684,TWLO,65.55891238670695,61.64383561643836,65.17857142857142
2020Q4,2020-12-31,548.0,65.55891238670695,0.2860333333333333,0.8471,TWLO,61.64383561643836,66.83291770573565,53.83211678832116
2021Q1,2021-03-31,590.0,61.64383561643836,-1.0022333333333333,-0.399,TWLO,66.83291770573565,65.17857142857142,48.30508474576271
2021Q2,2021-06-30,669.0,66.83291770573565,-1.2278666666666667,-0.9133,TWLO,65.17857142857142,53.83211678832116,40.95665171898355
2021Q3,2021-09-30,740.0,65.17857142857142,-1.2063666666666666,-0.7642,TWLO,53.83211678832116,48.30508474576271,32.837837837837846
2021Q4,2021-12-31,843.0,53.83211678832116,-0.23816666666666672,0.7684,TWLO,48.30508474576271,40.95665171898355,21.58956109134045
2022Q1,2022-03-31,875.0,48.30508474576271,0.8648666666666666,0.9439,TWLO,40.95665171898355,32.837837837837846,15.08571428571428
2022Q2,2022-06-30,943.0,40.95665171898355,0.9182333333333332,1.0945,TWLO,32.837837837837846,21.58956109134045,10.074231177094383
2022Q3,2022-09-30,983.0,32.837837837837846,2.1126666666666662,2.5563,TWLO,21.58956109134045,15.08571428571428,5.1881993896236045
2022Q4,2022-12-31,1025.0,21.58956109134045,1.0853333333333335,1.2999,TWLO,15.08571428571428,10.074231177094383,4.975609756097565
2023Q1,2023-03-31,1007.0,15.08571428571428,0.17843333333333333,0.6844,TWLO,10.074231177094383,5.1881993896236045,3.972194637537241
2023Q2,2023-06-30,1038.0,10.074231177094383,-0.22276666666666667,-0.1337,TWLO,5.1881993896236045,4.975609756097565,4.335260115606943
2023Q3,2023-09-30,1034.0,5.1881993896236045,-0.3005666666666667,-0.1337,TWLO,4.975609756097565,3.972194637537241,9.671179883945836
2023Q4,2023-12-31,1076.0,4.975609756097565,-0.3654,-0.3282,TWLO,3.972194637537241,4.335260115606943,11.05947955390334
2024Q1,2024-03-31,1047.0,3.972194637537241,-1.3502,-1.2961,TWLO,4.335260115606943,9.671179883945836,11.9388729703916
2024Q2,2024-06-30,1083.0,4.335260115606943,-0.21786666666666668,-0.0763,TWLO,9.671179883945836,11.05947955390334,13.3887349953832
2024Q3,2024-09-30,1134.0,9.671179883945836,-0.8002666666666666,-0.7433,TWLO,11.05947955390334,11.9388729703916,14.63844797178131
2024Q4,2024-12-31,1195.0,11.05947955390334,-0.08323333333333334,-0.0143,TWLO,11.9388729703916,13.3887349953832,14.309623430962336
2025Q1,2025-03-31,1172.0,11.9388729703916,-0.039200000000000006,0.0499,TWLO,13.3887349953832,14.63844797178131,20.051194539249153
2025Q2,2025-06-30,1228.0,13.3887349953832,-0.5538666666666666,-0.3778,TWLO,14.63844797178131,14.309623430962336,
2025Q3,2025-09-30,1300.0,14.63844797178131,0.6394666666666667,2.1993,TWLO,14.309623430962336,20.051194539249153,
2025Q4,2025-12-31,1366.0,14.309623430962336,0.211,0.6897,TWLO,20.051194539249153,,
2026Q1,2026-03-31,1407.0,20.051194539249153,-0.48736666666666667,-0.4644,TWLO,,,
